Vehicle_Type,Public Vehicle Number,Status,Vehicle_Make,Vehicle Model,Vehicle Model Year,Vehicle Color,Vehicle Fuel Source,Wheelchair Accessible,Company Name,City,State,Record ID
Taxi,1871,ACTIVE,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,DIANA MANAGEMENT LLC,CHICAGO,IL,1871Taxi
Taxi,4953,ACTIVE,NISSAN,ALTIMA,2011,WHITE,Hybrid,N,LFT CAB CORP,CHICAGO,IL,4953Taxi
Taxi,4901,INACTIVE,CHEVROLET,CAPRICE,1994,WHITE/STARS/STRIPES,Gasoline,N,HIGHLANDS PEREGRINE COMPANY,CHICAGO,IL,4901Taxi
Livery,7532,ACTIVE,CHEVROLET,SUBURBAN,2015,BLACK,Gasoline,N,LIMOZONE INC.,CHICAGO,IL,7532Livery
Taxi,4280,ACTIVE,TOYOTA,SCION,2011,YELLOW,Gasoline,N,ELSTON NINE LLC,CHICAGO,IL,4280Taxi
Taxi,3604,VIOLATION,FORD,FUSION,2014,WHITE/STARS/STRIPES,Hybrid,N,CHICAGO JACAL HACKING II CORP,CHICAGO,IL,3604Taxi
Charter Sightseeing,9996,ACTIVE,CHEVROLET,G3500,2010,BLACK,Gasoline,N,JKS LIMOUSINES LLC.,CHICAGO,IL,9996Charter Sightseeing
Livery,8717,ACTIVE,GMC,YUKON,2013,BLACK,Gasoline,N,GEPI CORP,CHICAGO,IL,8717Livery
Livery,7553,ACTIVE,CHEVROLET,SUBURBAN,2015,BLACK,Gasoline,N,SIGNATURE TRANSPORTATION GROUP LLC,CHICAGO,IL,7553Livery
Taxi,6683,ACTIVE,TOYOTA,PRIUS,2012,YELLOW,Hybrid,N,BRI KAY HACKING CHICAGO CORP.,CHICAGO,IL,6683Taxi
Taxi,201,ACTIVE,TOYOTA,CAMRY,2012,WHITE,Hybrid,N,MONSOON TAXI CORP.,CHICAGO,IL,201Taxi
Ambulance,5433,INACTIVE,FORD,E350,2006,WHITE/BLUE,Gasoline,N,AMBULANCE TRANSPORTATION INC,TINLEY PARK,IL,5433Ambulance
Taxi,5369,ACTIVE,TOYOTA,CAMRY,2013,WHITE,Hybrid,N,EXCEL CAB SERVICES INC,CHICAGO,IL,5369Taxi
Taxi,4294,ACTIVE,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,MODENA TAXI LLC,CHICAGO,IL,4294Taxi
Taxi,6526,ACTIVE,NISSAN,ALTIMA,2011,BLUE/WHITE,Hybrid,N,BHATTI TAXI INC,CHICAGO,IL,6526Taxi
Taxi,492,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO SEVEN INC,CHICAGO,IL,492Taxi
Taxi,5236,ACTIVE,TOYOTA,CAMRY,2011,WHITE,Hybrid,N,SALEEM INC,CHICAGO,IL,5236Taxi
Taxi,6749,ACTIVE,FORD,ESCAPE,2014,YELLOW,Hybrid,N,"JATT, INC.",CHICAGO,IL,6749Taxi
Medicar,6314,RESERVED,FORD,E250,2006,BLACK,Gasoline,N,ILLINOIS MEDI-CAR INC,ELMHURST,IL,6314Medicar
Taxi,3066,ACTIVE,FORD,ESCAPE,2011,WHITE,Hybrid,N,OMM CORP,CHICAGO,IL,3066Taxi
Livery,7926,ACTIVE,LINCOLN,MKS,2011,BLACK,Gasoline,N,RM LIMOUSINE INC,CHICAGO,IL,7926Livery
Taxi,4507,ACTIVE,TOYOTA,CAMRY,2013,CREAM/GREEN,Hybrid,N,OTAMERE SABU IGBINOVIA,CHICAGO,IL,4507Taxi
Taxi,360,ACTIVE,TOYOTA,PRIUS,2013,YELLOW,Hybrid,N,IL 11 CORP,CHICAGO,IL,360Taxi
Taxi,6174,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,IQRA HINA INC,CHICAGO,IL,6174Taxi
Taxi,481,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,CHICAGO SEVEN INC,CHICAGO,IL,481Taxi
Taxi,6703,ACTIVE,NISSAN,ALTIMA,2011,ORANGE/BLUE,Hybrid,N,PORTILLO TAXI LLC,CHICAGO,IL,6703Taxi
Taxi,76,ACTIVE,TOYOTA,CAMRY,2014,CREAM/GREEN,Hybrid,N,DANIEL AND MONIQUE CAB CORP.,CHICAGO,IL,76Taxi
Medicar,3615,RESERVED,CHEVROLET,BRAUN,2008,WHITE,Gasoline,N,RESURRECTION HEALTH CARE,CHICAGO,IL,3615Medicar
Taxi,1908,ACTIVE,VPG,MV-1,2012,YELLOW,Compressed Natural Gas,Y,B K L CHILDREN SUCCESSFUL HACKING CORP.,CHICAGO,IL,1908Taxi
Taxi,5005,ACTIVE,TOYOTA,CAMRY,2012,YELLOW,Hybrid,N,C K A CORP,CHICAGO,IL,5005Taxi
Taxi,3222,ACTIVE,TOYOTA,SCION,2011,CREAM/GREEN,Gasoline,N,NAG TAXI INC.,CHICAGO,IL,3222Taxi
Taxi,825,ACTIVE,FORD,ESCAPE,2013,YELLOW,Hybrid,N,NECT 34 LLC,CHICAGO,IL,825Taxi
Taxi,540,ACTIVE,DODGE,CARAVAN,2012,WHITE,Compressed Natural Gas,Y,LIBRA TAXI INC,CHICAGO,IL,540Taxi
Livery,8407,ACTIVE,GMC,YUKON,2014,BLACK,Gasoline,N,"AMERICAN HOTLINE LIMO, INC",CHICAGO,IL,8407Livery
Taxi,6186,ACTIVE,TOYOTA,PRIUS,2010,YELLOW,Hybrid,N,BIG APPLE CAB TWO CO,CHICAGO,IL,6186Taxi
Taxi,3000,ACTIVE,TOYOTA,CAMRY,2014,WHITE,Hybrid,N,AGOUTI CO,CHICAGO,IL,3000Taxi
Taxi,1447,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,SNOWSTORM II HACKING CORP.,CHICAGO,IL,1447Taxi
Medicar,6382,INACTIVE,DODGE,SPRINTER,2007,SILVER,Gasoline,N,CATCH A RIDE TRANSPORTATION INC,CHICAGO,IL,6382Medicar
Taxi,6418,FORECLOSURE,FORD,ESCAPE,2010,YELLOW,Compressed Natural Gas,N,LIBERTY EXPRESS III INC.,CHICAGO,IL,6418Taxi
Taxi,3364,ACTIVE,TOYOTA,VENZA,2013,YELLOW,Gasoline,N,KWASEPO TAXI CORP,CHICAGO,IL,3364Taxi
Medicar,6527,RESERVED,FORD,E350,2006,BLACK,Gasoline,N,Joiner Enterprises Inc,CHICAGO,IL,6527Medicar
Taxi,2908,VIOLATION,FORD,ESCAPE,2011,YELLOW,Compressed Natural Gas,N,SUNFLOWER CAB CO.,CHICAGO,IL,2908Taxi
Taxi,990,ACTIVE,TOYOTA,PRIUS,2014,CREAM/GREEN,Hybrid,N,ELSTON FIVE LLC,CHICAGO,IL,990Taxi
Taxi,975,ACTIVE,NISSAN,ALTIMA,2009,ORANGE/BLUE,Hybrid,N,OIA CAB CORP.,CHICAGO,IL,975Taxi
Taxi,1650,ACTIVE,FORD,ESCAPE,2012,MAROON/GOLD/STRIPES,Hybrid,N,GAP CAB CORP.,CHICAGO,IL,1650Taxi
Taxi,6842,INACTIVE,FORD,CROWN VICTORIA,2006,CREAM/GREEN,Gasoline,N,CITY OF CHICAGO BACP,CHICAGO,IL,6842Taxi
Taxi,1119,ACTIVE,TOYOTA,SIENNA,2011,YELLOW,Gasoline,N,FATOU INC.,CHICAGO,IL,1119Taxi
Taxi,3568,ACTIVE,FORD,C-MAX,2013,ORANGE/BLUE,Hybrid,N,SWEETBOY TAXI LLC,CHICAGO,IL,3568Taxi
Taxi,249,ACTIVE,TOYOTA,CAMRY,2014,BLUE,Hybrid,N,ADI EXPRESS INC,CHICAGO,IL,249Taxi
Taxi,3304,ACTIVE,TOYOTA,CAMRY,2011,ORANGE/BLUE,Hybrid,N,ANY CAB CORP.,CHICAGO,IL,3304Taxi
Taxi,3751,ACTIVE,TOYOTA,PRIUS,2012,WHITE,Hybrid,N,"MAMOON JFK, INC.",CHICAGO,IL,3751Taxi
Charter Sightseeing,12968,INACTIVE,FORD,F550,1999,WHITE,Gasoline,N,VISIONARY INDUSTRIES,EVERGREEN PARK,IL,12968Charter Sightseeing
Taxi,6312,ACTIVE,TOYOTA,SCION,2012,WHITE,Gasoline,N,MAHA CAB INC.,CHICAGO,IL,6312Taxi
Livery,9222,INACTIVE,LINCOLN,TOWN CAR,2008,BLACK,Gasoline,N,MILESTONE LIMOUSINE SERVICES CORP,CHICAGO,IL,9222Livery
Taxi,6119,ACTIVE,TOYOTA,SCION,2011,WHITE/STARS/STRIPES,Gasoline,N,NAT MIKE CABS TWO INC.,CHICAGO,IL,6119Taxi
Taxi,1977,ACTIVE,TOYOTA,SCION,2013,WHITE,Gasoline,N,A. S. INC. II,CHICAGO,IL,1977Taxi
Taxi,5443,ACTIVE,TOYOTA,CAMRY,2014,WHITE/BLUE/STRIPES,Hybrid,N,NEW MILLENNIUM INC #II,CHICAGO,IL,5443Taxi
Charter Sightseeing,11750,RESERVED,FORD,F650,2008,BLACK,Gasoline,N,EMPIRE LIMOUSINE INC,CHICAGO,IL,11750Charter Sightseeing
Taxi,434,ACTIVE,TOYOTA,RAV4,2014,WHITE,Gasoline,N,FOUR THREE FOUR INC,CHICAGO,IL,434Taxi
Taxi,477,ACTIVE,FORD,FUSION,2014,WHITE,Hybrid,N,LIBRA TAXI INC,CHICAGO,IL,477Taxi
Taxi,1404,ACTIVE,TOYOTA,PRIUS,2011,WHITE,Hybrid,N,WE CAB CO.,CHICAGO,IL,1404Taxi
Taxi,854,ACTIVE,TOYOTA,CAMRY,2012,GOLD,Hybrid,N,JOELIZ CORP INC,CHICAGO,IL,854Taxi
Taxi,6921,ACTIVE,TOYOTA,PRIUS,2014,SILVER,Hybrid,N,SOSNA INC,CHICAGO,IL,6921Taxi
Taxi,5788,SURRENDER,FORD,ESCAPE,2013,YELLOW,Hybrid,N,LEONID'S HACKING CORP.,CHICAGO,IL,5788Taxi
Taxi,2335,SURRENDER,FORD,ESCAPE,2011,WHITE,Compressed Natural Gas,N,BANGA CAB CO.,CHICAGO,IL,2335Taxi
Taxi,5846,ACTIVE,TOYOTA,PRIUS,2013,BLUE/WHITE,Hybrid,N,MONTANA TAXICAB INC,CHICAGO,IL,5846Taxi
Ambulance,5096,INACTIVE,FORD,E350,2014,BLACK,Gasoline,N,TOWER AMBULANCE,CHICAGO,IL,5096Ambulance
Taxi,1090,ACTIVE,TOYOTA,PRIUS,2012,WHITE,Hybrid,N,9TH AVENUE TAXI CORP.,CHICAGO,IL,1090Taxi
Livery,7406,RESERVED,FORD,CROWN VICTORIA,2007,BLACK,Gasoline,N,Majestic Livery Service Inc,CHICAGO,IL,7406Livery
Livery,7133,ACTIVE,LINCOLN,MKT,2014,BLACK,Gasoline,N,METROPOLITAN LIMOUSINE INC.,CHICAGO,IL,7133Livery
Livery,8308,ACTIVE,LINCOLN,MKT,2013,BLACK,Gasoline,N,A-FABER LIMOUSINE SERVICE INC,CHICAGO,IL,8308Livery
Taxi,6835,INACTIVE,FORD,CROWN VICTORIA,2004,CREAM/GREEN,Gasoline,N,CITY OF CHICAGO BACP,CHICAGO,IL,6835Taxi
